date,ticker,shares_outstanding
2025-03-04,RELIANCE.NS,13865700352.0
2025-03-05,RELIANCE.NS,13532399616.0
2025-03-05,RELIANCE.NS,13641299968.0
2025-03-11,RELIANCE.NS,13656899584.0
2025-03-11,RELIANCE.NS,13532399616.0
2025-03-26,RELIANCE.NS,13532399616.0
2025-03-26,RELIANCE.NS,13707700224.0
2025-03-27,RELIANCE.NS,13532399616.0
2025-03-27,RELIANCE.NS,13664199680.0
2025-04-03,RELIANCE.NS,13532399616.0
2025-04-03,RELIANCE.NS,13548099584.0
2025-04-08,RELIANCE.NS,13532399616.0
2025-04-08,RELIANCE.NS,13985099776.0
2025-04-17,RELIANCE.NS,13532399616.0
2025-04-17,RELIANCE.NS,13541099520.0
2025-04-23,RELIANCE.NS,13532399616.0
2025-04-23,RELIANCE.NS,13577400320.0
2025-04-26,RELIANCE.NS,13544899584.0
2025-04-29,RELIANCE.NS,13532399616.0
2025-05-02,RELIANCE.NS,13532499968.0
2025-05-07,RELIANCE.NS,13532499968.0
2025-05-07,RELIANCE.NS,13631500288.0
2025-05-10,RELIANCE.NS,13532499968.0
2025-05-10,RELIANCE.NS,13825300480.0
2025-05-28,RELIANCE.NS,13532499968.0
2025-05-28,RELIANCE.NS,13653300224.0
2025-05-29,RELIANCE.NS,13532499968.0
2025-05-29,RELIANCE.NS,13620599808.0
2025-06-03,RELIANCE.NS,13532499968.0
2025-06-03,RELIANCE.NS,13601399808.0
2025-06-04,RELIANCE.NS,13532499968.0
2025-06-04,RELIANCE.NS,13611400192.0
2025-06-11,RELIANCE.NS,13532499968.0
2025-06-11,RELIANCE.NS,13629400064.0
2025-06-14,RELIANCE.NS,13532499968.0
2025-06-14,RELIANCE.NS,13662300160.0
2025-06-18,RELIANCE.NS,13532499968.0
2025-06-18,RELIANCE.NS,13594900480.0
2025-06-19,RELIANCE.NS,13542899712.0
2025-06-19,RELIANCE.NS,13532499968.0
2025-06-24,RELIANCE.NS,13532499968.0
2025-06-24,RELIANCE.NS,13619800064.0
2025-06-25,RELIANCE.NS,13588400128.0
2025-06-25,RELIANCE.NS,13532499968.0
2025-07-09,RELIANCE.NS,13566799872.0
2025-07-10,RELIANCE.NS,13732899840.0
2025-07-11,RELIANCE.NS,13749199872.0
2025-07-12,RELIANCE.NS,13951500288.0
2025-07-15,RELIANCE.NS,14059700224.0
2025-07-16,RELIANCE.NS,14043599872.0
2025-07-17,RELIANCE.NS,14041700352.0
2025-07-18,RELIANCE.NS,14129200128.0
2025-07-19,RELIANCE.NS,14133000192.0
2025-07-22,RELIANCE.NS,14601900032.0
2025-07-23,RELIANCE.NS,14765200384.0
2025-07-24,RELIANCE.NS,14642899968.0
2025-07-25,RELIANCE.NS,14869399552.0
2025-07-26,RELIANCE.NS,14989100032.0
2025-07-29,RELIANCE.NS,15033400320.0
2025-07-30,RELIANCE.NS,13532499968.0
2025-07-30,RELIANCE.NS,14720400384.0
2025-08-01,RELIANCE.NS,13532499968.0
2025-08-02,RELIANCE.NS,13532499968.0
2025-08-05,RELIANCE.NS,13532499968.0
2025-08-06,RELIANCE.NS,13532499968.0
2025-08-07,RELIANCE.NS,13532499968.0
2025-08-08,RELIANCE.NS,13532499968.0
2025-08-08,RELIANCE.NS,13565599744.0
2025-08-09,RELIANCE.NS,13532499968.0
2025-08-09,RELIANCE.NS,13746199552.0
2025-08-12,RELIANCE.NS,13532499968.0
2025-08-14,RELIANCE.NS,13532499968.0
2025-08-19,RELIANCE.NS,13532499968.0
2025-08-20,RELIANCE.NS,13532499968.0
2025-08-23,RELIANCE.NS,13532499968.0
2025-08-26,RELIANCE.NS,13532499968.0
2025-08-27,RELIANCE.NS,13532499968.0
2025-08-29,RELIANCE.NS,13532499968.0
2025-08-30,RELIANCE.NS,13532499968.0
2025-08-30,RELIANCE.NS,13818600448.0
2025-09-03,RELIANCE.NS,13532499968.0
2025-09-05,RELIANCE.NS,13532499968.0
2025-09-05,RELIANCE.NS,13664900096.0
2025-09-10,RELIANCE.NS,13532499968.0
2025-09-11,RELIANCE.NS,13532499968.0
